,points_above_average,kmean_group
0,0,1
1,11,1
2,12,1
3,13,1
4,37,1
5,38,1
6,39,1
7,40,1
8,41,1
9,42,1
10,58,2
11,64,4
12,72,1
13,73,1
14,74,1
15,75,4
16,81,1
17,82,1
18,98,4
19,132,2
20,135,2
21,138,2
22,147,2
23,167,4
24,169,2
25,172,2
26,177,2
27,178,1
28,179,1
29,180,1
30,181,1
31,192,2
32,213,2
33,215,2
34,219,4
35,235,4
36,240,4
37,267,5
38,268,5
39,269,5
40,270,5
41,271,5
42,272,5
43,278,3
44,288,0
45,289,3
46,294,3
47,302,5
48,303,5
49,304,5
50,305,3
51,310,5
52,311,5
53,312,5
54,322,5
55,327,3
56,361,0
57,364,0
58,367,0
59,376,0
60,391,3
61,393,3
62,401,0
63,402,5
64,403,5
65,404,5
66,405,5
67,407,5
68,408,5
69,409,5
70,415,5
71,416,0
72,433,0
73,435,0
74,439,3
75,455,3
76,460,3
